Processor,Benchmark,"HardwareVendor     ",System,#Cores,#Chips,#CoresPerChip,#ThreadsPerCore,Processor,ProcessorMHz,ProcessorCharacteristics,CPU(s)Orderable,AutoParallelization,BasePointerSize,PeakPointerSize,1stLevelCache,2ndLevelCache,3rdLevelCache,OtherCache,Memory,OperatingSystem,FileSystem,Compiler,HWAvail,SWAvail,BaseCopies,Result,Baseline,400Peak,400Base,401Peak,401Base,403Peak,403Base,429Peak,429Base,445Peak,445Base,456Peak,456Base,458Peak,458Base,462Peak,462Base,464Peak,464Base,471Peak,471Base,473Peak,473Base,483Peak,483Base,License,TestedBy,TestSponsor,TestDate,Published,Updated,Price
AMDOpteron3250HE,CINT2006rate,MSI,MS-S0231AMDOpteron3250HE,4,1,4,1,AMDOpteron3250HE,2500,AMDTurboCOREtechnologyupto3.50GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,4MBI+Donchipperchip,None,32GB(8x8GB2Rx4PC3-12800U-11runningat1333MHz),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.5.1ofx86Open64CompilerSuite(fromAMD),03/01/12,12/01/11,4,68.6,60.9,50.9,42.3,39.5,38.1,53.5,47.5,102,62.3,48,42.6,102,91.6,43.1,39.6,476,476,62.2,52.7,50.5,50.5,48.1,43.4,65.5,63.7,49,AdvancedMicroDevices,AdvancedMicroDevices,03/01/12,06/01/12,08/01/12,99
AMDOpteron4122,CINT2006rate,AcerIncorporated,AcerAT115F1(AMDOpteron41222.20GHz),4,1,4,1,AMDOpteron4122,2200,,1chip,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,16GB(2x8GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ReiserFS,x86Open644.2.4CompilerSuite(fromAMD),10/01/10,08/01/10,4,71,61.9,70.9,57.2,46.1,43.4,56.9,52.6,96.4,50.3,61.6,55.2,108,88.4,53.1,52.3,202,209,83.9,75,43.8,43.8,46.9,38.3,75.1,72.3,97,AcerIncorporated,AcerIncorporated,10/01/10,10/01/10,03/01/12,99
AMDOpteron4122,CINT2006rate,AcerIncorporated,GatewayGT115F1(AMDOpteron41222.20GHz),4,1,4,1,AMDOpteron4122,2200,,1chip,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,16GB(2x8GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ReiserFS,x86Open644.2.4CompilerSuite(fromAMD),10/01/10,08/01/10,4,71,61.9,70.9,57.2,46.1,43.4,56.9,52.6,96.4,50.3,61.6,55.2,108,88.4,53.1,52.3,202,209,83.9,75,43.8,43.8,46.9,38.3,75.1,72.3,97,AcerIncorporated,AcerIncorporated,10/01/10,10/01/10,03/01/12,99
AMDOpteron4122,CINT2006rate,DellInc.,PowerEdgeR415(AMDOpteron41222.20GHz),8,2,4,1,AMDOpteron4122,2200,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,8,139,121,141,114,89.5,83.6,109,98,184,97.3,123,109,209,171,107,105,417,417,166,149,83.3,83.3,93.8,75.3,143,136,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,99
AMDOpteron4122,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron41222.20GHz),8,2,4,1,AMDOpteron4122,2200,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,8,139,120,141,114,89.5,83.5,109,97.7,181,97.2,123,109,208,171,107,105,416,416,166,148,82.8,82.8,93.8,75.3,143,136,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,99
AMDOpteron4122,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4122,8,2,4,1,AMDOpteron4122,2200,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(4x8GBDDR3-1333CL9RegDualRank),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,8,139,120,140,113,89.1,83.3,109,97.2,183,97.6,122,109,209,170,106,104,409,415,166,149,83,83,93.3,75.2,143,135,49,AdvancedMicroDevices,AdvancedMicroDevices,07/01/10,08/01/10,03/01/12,99
AMDOpteron3260HE,CINT2006rate,MSI,MS-S0231AMDOpteron3260HE,4,1,4,1,AMDOpteron3260HE,2700,AMDTurboCOREtechnologyupto3.70GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,4MBI+Donchipperchip,None,32GB(8x8GB2Rx4PC3-12800U-11runningat1333MHz),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.5.1ofx86Open64CompilerSuite(fromAMD),03/01/12,12/01/11,4,73.8,65.2,55.1,46,43.3,41,57.2,50.4,108,63.6,52,46.2,109,98.4,46.8,43,513,513,67.8,57.4,52.8,52.8,52,46.7,70.1,68.3,49,AdvancedMicroDevices,AdvancedMicroDevices,03/01/12,06/01/12,08/01/12,125
AMDOpteron3350HE,CINT2006rate,MSI,MSIMS0231AMDOpteron3350HE,4,1,4,1,AMDOpteron3350HE,2800,AMDTurboCOREtechnologyupto3.80GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-10600U-9ECC),RedHatEnterpriseLinuxServerrelease6.3Kernel2.6.32-279.el6.x86_64,ext3,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),12/01/12,08/01/12,4,83.4,73.6,60.7,51.7,48.9,45.1,63.8,57.9,121,71.3,57,52,124,111,51.6,49.6,584,584,77.1,63.8,60.8,60.7,60.9,51.1,80.9,79.5,49,AdvancedMicroDevices,AdvancedMicroDevices,10/01/12,12/01/12,12/01/12,125
AMDOpteron3350HE,CINT2006rate,Supermicro,SupermicroA+Server1012A-MTF(H8SML-iFAMDOpteron3350HE),4,1,4,1,AMDOpteron3350HE,2800,AMDTurboCOREtechnologyupto3.80GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx8PC3-12800E-11ECCrunningat1333MHzandCL9),RedHatEnterpriseLinuxServerrelease6.3Kernel2.6.32-279.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),12/01/12,08/01/12,4,82.9,73.3,61.4,51.6,49.2,45.9,63.5,56.4,121,70.7,56.7,51.7,123,110,50.9,49.1,575,587,76.5,63.8,59.8,60.3,60.6,50.9,80.5,78.9,1176,Supermicro,Supermicro,01/01/13,02/01/13,02/01/13,125
AMDOpteron3350HE,CINT2006rate,Supermicro,SupermicroA+ServerAS-3012MA-H12TRF(H8SME-FOpteron3350HE)AMDOpteron3350HE,4,1,4,1,AMDOpteron3350HE,2800,AMDTurboCOREtechnologyupto3.80GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-10600U-9ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,08/01/12,4,83.6,74,61.6,51.9,49.3,45.7,64,58.2,122,71.5,57.3,52.1,124,111,51.9,50,578,589,77.3,64.1,60.7,61,60.8,51.2,81.5,80.1,1176,Supermicro,Supermicro,02/01/13,05/01/13,05/01/13,125
AMDOpteron4130,CINT2006rate,DellInc.,PowerEdgeR415(AMDOpteron41302.60GHz),8,2,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,8,158,136,164,133,102,95.5,121,106,194,101,143,127,243,193,125,123,481,481,195,175,88.7,88.7,106,85.5,161,152,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,125
AMDOpteron4130,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron41302.60GHz),8,2,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,8,158,136,162,132,102,95.1,120,106,196,101,143,127,244,196,125,123,481,481,195,175,88.2,88.2,106,85.1,161,152,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,125
AMDOpteron4130,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4130,4,1,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,16GB(2x8GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,4,80.8,69.8,82.6,66.7,52.8,49.7,63.3,57.6,105,53.5,71.9,64.2,125,99.8,61.9,60.8,238,238,98,88.6,46,46,53.3,43.1,84.4,80.2,49,AdvancedMicroDevices,AdvancedMicroDevices,12/01/10,02/01/11,03/01/12,125
AMDOpteron4130,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4130,8,2,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(4x8GBDDR3-1333CL9RegDualRank),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,8,158,136,164,132,101,94.9,120,106,197,102,143,127,242,195,124,122,476,481,195,175,88.4,88.4,106,84.9,160,152,49,AdvancedMicroDevices,AdvancedMicroDevices,08/01/10,08/01/10,03/01/12,125
